"","x"
"804","KCNJ18"
"805","BMS1P8"
"806","CASC17"
"807","XKR7"
"808",""
"809","WFDC21P"
"810",""
"811","LINC02178"
"812","MUC22"
"813","LINC01976"
"814","DLGAP1-AS5"
"815",""
"816","SCRT1"
"817",""
"818",""
"819","MAPK8IP1P2"
"820","AKR1C8"
"821","MTND1P15"
"822",""
"823","RN7SL208P"
"824",""
"825",""
"826",""
"827",""
"828",""
"829","LINC01924"
"830",""
"831",""
"832","LINC03092"
"833",""
"834",""
"835",""
"836","LINC02560"
"837","CSAG2"
"838","CT45A1"
"839","ERVV-2"
"840",""
"841",""
"842",""
"843",""
"844","CT45A10"
"845","RNF225"
"846",""
"847","IGHV1OR15-1"
"848","TSIX"
"849","LINC00221"
"850","DPPA3P12"
"851",""
"852","LINC02538"
"853",""
"854","FAM25BP"
"855","CEACAM20"
"856","LINC01746"
"857",""
"858","PRSS2"
"859",""
"860","IGKV1D-13"
"861","IGKV1OR1-1"
"862","KMT2CP2"
"863",""
"864",""
"865",""
"866",""
"867","C17orf78"
"868","SOWAHCP5"
"869",""
"870","BANCR"
"871",""
"872",""
"873",""
"874",""
"875",""
"876",""
"877","LINC01667"
"878",""
"879",""
"880",""
"881","PCAT14"
"882","SH3PXD2A-AS1"
"883","LINC01097"
"884",""
"885","TEX13C"
"886","RHOXF1P2"
"887","RHOXF1P3"
"888","LINC02635"
"889",""
"890","KMT2CP4"
"891",""
"892","SLURP2"
"893","PERCC1"
"894","SMIM38"
"895",""
"896","LINC02988"
"897",""
"898",""
"899",""
"900","CERNA2"
"901",""
"902",""
"903",""
"904",""
"905","NHIP"
"906",""
"907",""
"908",""
"909",""
"910",""
"911",""
"912",""
"913",""
"914",""
"915",""
"916",""
"917",""
"918",""
"919",""
"920",""
"921",""
"922",""
"923",""
"924",""
"925",""
"926",""
